model_name,epochs,batch,dataset_name,slaves_num,transfer_quantity_GB,transfer_summary_time_in_memory_sec,accuracy,loss,unfreeze,mean_learning_time_by_epoch_sec,gradient_compression,meta,ci95_transfer_quantity_GB_hi,ci95_transfer_quantity_GB_lo,ci95_transfer_summary_time_in_memory_sec_hi,ci95_transfer_summary_time_in_memory_sec_lo,ci95_accuracy_hi,ci95_accuracy_lo,ci95_loss_hi,ci95_loss_lo,ci95_mean_learning_time_by_epoch_sec_hi,ci95_mean_learning_time_by_epoch_sec_lo
18,10,32,uoft-cs/cifar10,5,69.7734,45.42685151100159,0.9092,0.0267833,full,158.1964,none,"attempt 1, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.7735,45.48357892036438,0.9059,0.1950612,full,158.1921,none,"attempt 2, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77340000000001,46.235536098480225,0.9082,0.0505139,full,158.3945,none,"attempt 3, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77349999999998,45.7770223617554,0.9127,0.0021617,full,158.4219,none,"attempt 4, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77340000000004,45.60119462013242,0.9058,0.0906722,full,158.2685,none,"attempt 5, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77349999999996,45.68346452713013,0.912,0.1432335,full,158.3398,none,"attempt 6, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77340000000004,45.935950756073,0.9132,0.0070708,full,158.465,none,"attempt 7, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77349999999996,46.047781944274846,0.9114,0.0091927,full,158.4586,none,"attempt 8, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77340000000004,46.243726015091,0.9035,0.060268,full,158.4283,none,"attempt 9, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77350000000001,46.13679480552673,0.9042,0.002187,full,158.3715,none,"attempt 10, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77339999999992,46.25540828704834,0.9115,0.0046751,full,158.5054,none,"attempt 11, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
18,10,32,uoft-cs/cifar10,5,69.77350000000001,47.44959735870361,0.9087,0.0038555,full,158.6764,none,"attempt 12, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[46.32845231424196],[45.717698886688325],[0.9107733394941484],[0.9069433271725182],[0.08554550241064494],[0.013733647589355052],[158.4699350410936],[158.3164649589064]
