model_name,epochs,batch,dataset_name,slaves_num,transfer_quantity_GB,transfer_summary_time_in_memory_sec,accuracy,loss,unfreeze,mean_learning_time_by_epoch_sec,gradient_compression,meta,ci95_transfer_quantity_GB_hi,ci95_transfer_quantity_GB_lo,ci95_transfer_summary_time_in_memory_sec_hi,ci95_transfer_summary_time_in_memory_sec_lo,ci95_accuracy_hi,ci95_accuracy_lo,ci95_loss_hi,ci95_loss_lo,ci95_mean_learning_time_by_epoch_sec_hi,ci95_mean_learning_time_by_epoch_sec_lo
18,10,32,uoft-cs/cifar10,5,69.7734,46.88120102882385,0.9131,0.0446468,full,153.5355,none,"attempt 1, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.7735,46.88437795639038,0.9058,0.0956925,full,153.4136,none,"attempt 2, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77340000000001,47.11147499084473,0.9059,0.1937128,full,153.9905,none,"attempt 3, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77349999999998,47.44470143318176,0.905,0.0255807,full,153.6384,none,"attempt 4, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77340000000004,47.17853307723999,0.9098,0.0043418,full,154.0494,none,"attempt 5, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77349999999996,47.489116191864014,0.9018,0.0222623,full,153.5976,none,"attempt 6, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77340000000004,46.92205500602722,0.9106,0.0281385,full,153.5328,none,"attempt 7, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77349999999996,46.66891455650324,0.9105,0.0361383,full,153.4321,none,"attempt 8, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77340000000004,46.448392868042106,0.907,0.0042208,full,153.2757,none,"attempt 9, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77350000000001,46.7679185867309,0.9051,0.0373645,full,153.6563,none,"attempt 10, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77339999999992,47.22623872756958,0.9063,0.1029985,full,153.5463,none,"attempt 11, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
18,10,32,uoft-cs/cifar10,5,69.77350000000001,46.761038303375244,0.9006,0.0339252,full,153.3982,none,"attempt 12, baseline without compression, 5 slave",[69.77347954811177],[69.77342045188823],[47.15985909439835],[46.80413469336715],[0.9088704847725076],[0.9047128485608259],[0.08300368196463344],[0.021833434702033236],[153.71856482487823],[153.4591685084551]
