model_name,epochs,batch,dataset_name,slaves_num,transfer_quantity_GB,transfer_summary_time_in_memory_sec,accuracy,loss,unfreeze,mean_learning_time_by_epoch_sec,gradient_compression,meta
18,10,32,uoft-cs/cifar10,1,69.8629,124.92807412147522,0.8939,0.0020483,full,160.2267,none,"attempt 1, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,139.7258,250.7018051147461,0.8892,0.1664944,full,159.7492,none,"attempt 2, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,209.5887,376.55930495262146,0.8961,0.020034,full,160.2855,none,"attempt 3, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,279.4516,502.1433937549591,0.8892,0.0091651,full,160.3888,none,"attempt 4, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,349.3145,627.9519398212433,0.8908,0.0242276,full,160.3688,none,"attempt 5, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,419.1774,753.6649403572083,0.8937,0.0343999,full,160.6504,none,"attempt 6, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,489.0403,879.6470215320587,0.8827,0.0201722,full,160.4392,none,"attempt 7, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,558.9032,1005.7346711158752,0.8962,0.0086411,full,160.4346,none,"attempt 8, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,628.7661,1132.538918018341,0.8858,0.0710011,full,160.5217,none,"attempt 9, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,698.629,1258.3724269866943,0.8864,0.1781529,full,160.5368,none,"attempt 10, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,768.4919,1384.1061120033264,0.8834,0.1212495,full,160.3424,none,"attempt 11, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,838.3548,1510.0309221744537,0.8796,0.0330425,full,160.6564,none,"attempt 12, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,908.2177,1636.059076309204,0.8936,0.0762711,full,160.4786,none,"attempt 13, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,978.0806,1763.3484165668488,0.8919,0.0089486,full,160.55,none,"attempt 14, baseline without compression, 1 slave"
18,10,32,uoft-cs/cifar10,1,1047.9435,1889.354608297348,0.8853,0.0155016,full,160.3416,none,"attempt 15, baseline without compression, 1 slave"
