model_name,epochs,batch,dataset_name,slaves_num,transfer_quantity_GB,transfer_summary_time_in_memory_sec,accuracy,loss,unfreeze,mean_learning_time_by_epoch_sec,gradient_compression,meta,ci95_transfer_quantity_GB_hi,ci95_transfer_quantity_GB_lo,ci95_transfer_summary_time_in_memory_sec_hi,ci95_transfer_summary_time_in_memory_sec_lo,ci95_accuracy_hi,ci95_accuracy_lo,ci95_loss_hi,ci95_loss_lo,ci95_mean_learning_time_by_epoch_sec_hi,ci95_mean_learning_time_by_epoch_sec_lo
18,10,32,uoft-cs/cifar10,1,69.8629,124.92807412147522,0.8939,0.0020483,full,160.2267,none,"attempt 1, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.8629,125.77373099327087,0.8892,0.1664944,full,159.7492,none,"attempt 2, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.8629,125.85749983787542,0.8961,0.020034,full,160.2855,none,"attempt 3, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.8629,125.58408880233759,0.8892,0.0091651,full,160.3888,none,"attempt 4, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.86290000000002,125.80854606628418,0.8908,0.0242276,full,160.3688,none,"attempt 5, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,125.71300053596497,0.8937,0.0343999,full,160.6504,none,"attempt 6, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.86290000000002,125.98208117485046,0.8827,0.0201722,full,160.4392,none,"attempt 7, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,126.08764958381653,0.8962,0.0086411,full,160.4346,none,"attempt 8, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.86290000000008,126.80424690246582,0.8858,0.0710011,full,160.5217,none,"attempt 9, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,125.83350896835327,0.8864,0.1781529,full,160.5368,none,"attempt 10, baseline without compression, 1 slave",[69.86290000000001],[69.86289999999998],[124.66712204471516],[122.55121199433718],[0.8886068552623406],[0.8844301817746963],[0.09366408273838364],[0.032358783928283036],[160.1164437542984],[159.63574883829418]
