model_name,epochs,batch,dataset_name,slaves_num,transfer_quantity_GB,transfer_summary_time_in_memory_sec,accuracy,loss,unfreeze,mean_learning_time_by_epoch_sec,gradient_compression,meta,ci95_transfer_quantity_GB_hi,ci95_transfer_quantity_GB_lo,ci95_transfer_summary_time_in_memory_sec_hi,ci95_transfer_summary_time_in_memory_sec_lo,ci95_accuracy_hi,ci95_accuracy_lo,ci95_loss_hi,ci95_loss_lo,ci95_mean_learning_time_by_epoch_sec_hi,ci95_mean_learning_time_by_epoch_sec_lo
18,10,32,uoft-cs/cifar10,1,69.8629,124.92807412147522,0.8939,0.0020483,full,160.2267,none,"attempt 1, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.8629,125.77373099327087,0.8892,0.1664944,full,159.7492,none,"attempt 2, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.8629,125.85749983787542,0.8961,0.020034,full,160.2855,none,"attempt 3, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.8629,125.58408880233759,0.8892,0.0091651,full,160.3888,none,"attempt 4, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86290000000002,125.80854606628418,0.8908,0.0242276,full,160.3688,none,"attempt 5, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,125.71300053596497,0.8937,0.0343999,full,160.6504,none,"attempt 6, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86290000000002,125.98208117485046,0.8827,0.0201722,full,160.4392,none,"attempt 7, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,126.08764958381653,0.8962,0.0086411,full,160.4346,none,"attempt 8, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86290000000008,126.80424690246582,0.8858,0.0710011,full,160.5217,none,"attempt 9, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,125.83350896835327,0.8864,0.1781529,full,160.5368,none,"attempt 10, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,125.73368501663208,0.8834,0.1212495,full,160.3424,none,"attempt 11, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,125.92481017112709,0.8796,0.0330425,full,160.6564,none,"attempt 12, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86290000000008,126.0281541347506,0.8936,0.0762711,full,160.4786,none,"attempt 13, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86289999999997,127.28934025764465,0.8919,0.0089486,full,160.55,none,"attempt 14, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
18,10,32,uoft-cs/cifar10,1,69.86290000000008,126.00619173049927,0.8853,0.0155016,full,160.3416,none,"attempt 15, baseline without compression, 1 slave",[69.86290000000004],[69.86289999999998],[126.2243201626286],[125.68962761035112],[0.8917911791132571],[0.8865821542200762],[0.08214260026559184],[0.0231040530677415],[160.50857661259755],[160.28751672073577]
